,0
0,hopeless for tmr :(
1,Everything in the kids section of IKEA is so cute. Shame I'm nearly 19 in 2 months :(
2,@Hegelbon That heart sliding into the waste basket. :(
3,"“@ketchBurning: I hate Japanese call him ""bani"" :( :(”

Me too"
4,"Dang starting next week I have ""work"" :("
5,"oh god, my babies' faces :( https://t.co/9fcwGvaki0"
6,@RileyMcDonough make me smile :((
7,@f0ggstar @stuartthull work neighbour on motors. Asked why and he said hates the updates on search :( http://t.co/XvmTUikWln
8,"why?:(""@tahuodyy: sialan:( https://t.co/Hv1i0xcrL2"""
9,Athabasca glacier was there in #1948 :-( #athabasca #glacier #jasper #jaspernationalpark #alberta #explorealberta #… http://t.co/dZZdqmf7Cz
10,I have a really good m&amp;g idea but I'm never going to meet them :(((
11,@Rampageinthebox mare ivan :(
12,"@SophiaMascardo happy trip, keep safe. see you soon :* :("
13,I'm so tired hahahah :(
14,@GrumpyCockney With knee replacements they get you up &amp; about the same day. :-(   Ouch.
15,"relate to the ""sweet n' sour"" kind of ""bi-polar"" people in your life... cuz my life... is FULL of them... :("
16,@aysegul_k pleasse :(
17,@SexyKalamo im not sure tho :(
18,"I feel stupid
I just can't seem to grasp the basics of digital painting and nothing I've been researching is helping any :("
19,Good Lord. :( https://t.co/nC9LkYUUvO
20,"I feel lonely someone talk to me guys and girls :(

@TheOnlyRazzYT @imarieuda @EiroZPegasus @AMYSQUEE @UdotV"
21,"No Assignment, but we have Project. :( really? 😩"
22,just want to play video games/watch movies with someone :(
23,choreographing is hard : (
24,@xo_raaaaayyy_xo what the email link? Still says that it's no longer available :( http://t.co/iuiaIOynnx
25,cries bc i miss mingming so much :-(
26,Sorry :( https://t.co/Q5TAYjrQ8K
27,@Giannivnni mom so far away :(
28,We're truly sorry @chrisbrown :( have a safe flight.
29,and my friends :(
30,@bbygjrlmgc oh :( i hate when that happens i get so sad over it too
31,Oh. Dog has pee’d in my @Kneewax bag.  :-(   So I can’t take it to #NewWine15
32,@YM_Dish98 doushite :( ?
33,@Charliescoco @reeceftcharliie @SimonCowell too late :(
34,It sucks so much been sick i was plan to start work on my first gundam to night but nope. :(
35,MY $$$$2 DOLLAR :( 😭😭😭😭😭😭 http://t.co/oI0pYGUsDi
36,"@martylog Listening back to old @DaveGorman shows (I know, I'm weird). Just got to u leaving: might give up. It was pale imitation after :-("
37,i went in the sea and now have a massive fucking rash all over my body and it's the most painful thing ever i want to go home :((
38,@dethronedlwt hi. Why are you absent? :(
39,My Gran tho !!! She knew but didn't care to tell me :((
40,@rowysoIjp SAME IT'S SO CUTE I LOVE IT SO MUCH I WISH THERE WOULD BE A SEQUEL :(
41,@imallyssagail busy sa school :( next time love yah! xx
42,Ouucchhh one of my wisdom teeth are coming through :(
43,@StevenLDN frightening case. It really gets to you :(
44,"pret :(( wkwkw""@WLK_Jhope: Verfied @WLK_Hyemi91 be active, don't forget to follow all member. Thanks for join. Goodbye"""
45,You´ve got me in chains for your love :´( — a sentir-se incompleta
46,it's okay.. but.. :((
47,@njhftbiebs why didn't you go on Wednesday :(
48,@radicalj  Marvellous - not. How very thwarting :-(
